Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,Unnamed: 30
1627020994.602,,50000.0,9.995996,0.06709214,0.0,3,0.997434,0.0,,,,,,,,,,,,,,32,1,4.0,0.00299263,0.0,0,1,0,
1627021085.057,,50000.0,10.6694,0.06708081,0.0,3,0.9974489,0.0,,,,,,,,,,,,,,32,1,4.0,0.3339901,0.0,0,1,0,
1627021130.701,,50000.0,11.14986,0.06708266,0.0,3,0.9975784,0.0,,,,,,,,,,,,,,32,1,4.0,0.2936602,0.0,0,1,0,
1627021186.685,,50000.0,11.6876,0.06705373,0.0,3,0.9970183,0.0,,,,,,,,,,,,,,32,1,4.0,0.3490496,0.0,0,1,0,
1627021232.291,,50000.0,12.18059,0.06707998,0.0,3,0.9973773,0.0,,,,,,,,,,,,,,32,1,4.0,0.3344002,0.0,0,1,0,
1627021281.019,,50000.0,12.70034,0.06705046,0.0,3,0.997379,0.0,,,,,,,,,,,,,,32,1,4.0,0.3815603,0.0,0,1,0,
1627021322.408,,50000.0,13.19282,0.06705218,0.0,3,0.9974006,0.0,,,,,,,,,,,,,,32,1,4.0,0.3529406,0.0,0,1,0,
1627021369.013,,50000.0,13.71185,0.06704903,0.0,3,0.9975217,0.0,,,,,,,,,,,,,,32,1,4.0,0.3693094,0.0,0,0,0,
1627021411.931,,50000.0,14.19517,0.06703436,0.0,3,0.997569,0.0,,,,,,,,,,,,,,32,1,4.0,0.3595495,0.0,0,0,0,
1627021458.493,,50000.0,14.70227,0.0670105,0.0,3,0.9976367,0.0,,,,,,,,,,,,,,32,1,4.0,0.3951998,0.0,0,0,0,
1627021504.102,,50000.0,15.2151,0.06701422,0.0,3,0.9974443,0.0,,,,,,,,,,,,,,32,1,4.0,0.4082203,0.0,0,0,0,
1627021546.988,,50000.0,15.70001,0.06699648,0.0,3,0.9975752,0.0,,,,,,,,,,,,,,32,1,4.0,0.3825598,0.0,0,0,0,
1627021593.011,,50000.0,16.22781,0.06698057,0.0,3,0.9974789,0.0,,,,,,,,,,,,,,32,1,4.0,0.385479,0.0,0,0,0,
