X1_demo3,X2_demo3,Y_demo3
1.9981,0,-0.0014188
2.0697,0,0.00026698
2.1186,0,4.9597e-05
2.1672,0,-0.0010186
2.2861,0,-0.0016596
2.4104,0,-0.00079355
2.4857,0,-0.00051887
2.5617,0,0.0003968
2.6574,0,-0.0010225
2.7357,0,-0.00090044
2.8201,0,-0.00086228
2.8651,0,-0.0013696
2.9426,0,-0.0014612
3.0495,0,-0.00064475
3.1354,0,-0.0010453
3.2216,0,-0.001274
3.2654,0,-0.00088496
3.3064,0,-0.00098422
3.3799,0,-0.00091936
3.482,0,-0.00068671
3.5764,0,-0.0022505
3.6238,0,-0.002117
3.6727,0,-0.0023802
3.7127,0,-0.0015029
3.7586,0,-0.00086964
3.8073,0,-0.002094
3.8605,0,-0.0018613
3.9169,0,-0.00096499
3.9713,0,-0.0026852
4.0227,0,-6.4841e-05
4.0666,0,-0.0011786
4.1181,0,-0.0011976
4.1653,0,-0.002071
4.2293,0,-0.0014493
4.2737,0,-0.00096113
4.313,0,0.00010298
4.3591,0,-0.00060645
4.415,0,-0.00015638
4.4576,0,-0.0010222
4.516,0,-0.0028415
4.5826,0,-0.0015409
4.7159,0,-0.0010183
4.7666,0,-0.00047295
4.8161,0,0.00087343
4.8646,0,-0.0028186
4.9146,0,-0.0012931
4.9679,0,-0.00012972
5.0159,0,0.00011827
5.0705,0,-0.00092327
5.115,0,-0.001858
5.1662,0,0.00062175
5.2174,0,-0.0018881
5.267,0,-0.0011176
5.3155,0,-0.0021704
5.3653,0,-0.0016361
5.4161,0,-0.00164
5.4658,0,-0.00062547
5.5122,0,-0.0018688
5.5631,0,-0.0018271
5.6167,0,-0.0010223
5.6625,0,-0.00060649
5.7175,0,-0.00070948
5.7634,0,-0.0013201
5.8163,0,-0.00047693
5.8651,0,-0.00031286
5.9167,0,-0.0019077
5.9644,0,-0.0018957
6.0141,0,-0.00051111
6.067,0,-0.0019415
6.1121,0,-7.6285e-05
6.165,0,-0.0014874
6.2193,0,-0.0017201
6.2632,0,-0.0012128
6.3138,0,-0.00029367
6.3663,0,-0.00012206
6.4137,0,-0.0014876
6.4692,0,-0.0020369
6.5157,0,-0.0013694
6.566,0,-0.0012284
6.6151,0,-0.0019914
6.6629,0,-0.0025598
6.715,0,-0.0019571
